celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,cumulative_total_score,overall_avg_score,score_trend,industry_encoded,country_encoded,active_weeks,is_winner,final_rank,age,age_group,age_group_encoded,industry_group,industry_Entertainment,industry_Sports,industry_Reality/Model,industry_Media,industry_Other,region,is_us,region_encoded
Kelly Osbourne,Louis van Amstel,TV Personality,Unknown,England,24,9,3,244.7216,8.157386666666666,0.0696969696969697,3,8,10,False,3.0,24,Young (<25),4,Reality/Model,0,0,1,0,0,Non-US,0,1
Aiden Turner,Edyta Sliwinska,Actor/Actress,Unknown,England,32,10,9,70.5,2.35,0.1833333333333334,0,8,4,False,,32,Prime (25-34),1,Entertainment,1,0,0,0,0,Non-US,0,1
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,11,38.0,1.2666666666666668,0.666666666666667,0,22,2,False,,38,Mature (35-44),0,Entertainment,1,0,0,0,0,Southeast,1,4
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,5,167.9998,5.599993333333333,0.2261880952380952,0,22,8,False,,40,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,10,39.0,1.3,-0.1666666666666669,2,22,3,False,,80,Veteran (55+),3,Other,0,0,0,0,1,Northeast,1,2
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,4,199.4999,6.649996666666667,0.4027772222222222,4,22,9,False,,32,Prime (25-34),1,Sports,0,1,0,0,0,Southeast,1,4
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2,262.8887,8.762956666666668,0.1595925252525252,4,22,10,False,2.0,24,Young (<25),4,Sports,0,1,0,0,0,Midwest,1,0
Pamela Anderson,Damian Whitewood,Model,Unknown,Canada,42,10,6,163.9998,5.466659999999999,0.3511857142857142,3,3,7,False,,42,Mature (35-44),0,Reality/Model,0,0,1,0,0,Non-US,0,1
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1,280.7776,9.359253333333331,0.1818165656565656,0,22,10,True,1.0,31,Prime (25-34),1,Entertainment,1,0,0,0,0,West,1,6
Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3,249.4998,8.31666,0.2757539393939394,4,22,10,False,3.0,32,Prime (25-34),1,Sports,0,1,0,0,0,Northeast,1,2
Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,8,77.0,2.5666666666666664,-0.0333333333333333,3,22,5,False,,35,Mature (35-44),0,Reality/Model,0,0,1,0,0,Northeast,1,2
Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,7,127.9999,4.266663333333333,0.3047571428571427,3,22,6,False,,32,Prime (25-34),1,Reality/Model,0,0,1,0,0,Southwest,1,5
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,12,15.0,0.5,0.0,0,22,1,False,,58,Veteran (55+),3,Entertainment,1,0,0,0,0,Southeast,1,4
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,8,95.5,3.183333333333333,0.15,0,22,5,False,,76,Veteran (55+),3,Entertainment,1,0,0,0,0,Midwest,1,0
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2,255.8331,8.248603333333332,0.2795428282828282,0,22,10,False,2.0,19,Young (<25),4,Entertainment,1,0,0,0,0,Southeast,1,4
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1,279.0,8.995833333333334,0.2436868686868687,0,22,10,True,1.0,50,Senior (45-54),2,Entertainment,1,0,0,0,0,Northeast,1,2
Rick Fox,Cheryl Burke,Athlete,Unknown,Canada,41,11,6,175.0,5.5458333333333325,0.3526785714285714,4,3,7,False,,41,Mature (35-44),0,Sports,0,1,0,0,0,Non-US,0,1
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,5,184.9999,5.874996666666666,0.2589273809523809,4,22,8,False,,39,Mature (35-44),0,Sports,0,1,0,0,0,Midwest,1,0
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,10,51.0,1.7,0.5,2,22,3,False,,41,Mature (35-44),0,Other,0,0,0,0,1,West,1,6
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,11,28.0,0.9333333333333332,-1.333333333333333,0,22,2,False,,57,Veteran (55+),3,Entertainment,1,0,0,0,0,Northeast,1,2
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,4,248.4999,7.979163333333334,0.3513883333333333,0,22,9,False,,31,Prime (25-34),1,Entertainment,1,0,0,0,0,Southeast,1,4
The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,9,67.0,2.2333333333333334,-0.0333333333333332,3,22,4,False,,28,Prime (25-34),1,Reality/Model,0,0,1,0,0,Northeast,1,2
Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,7,145.9998,4.86666,0.5904666666666669,3,22,6,False,,25,Prime (25-34),1,Reality/Model,0,0,1,0,0,West,1,6
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3,229.1664,7.368046666666666,0.3194428282828285,3,22,10,False,3.0,19,Young (<25),4,Reality/Model,0,0,1,0,0,West,1,6
Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,4,217.0,6.958333333333334,0.0694444444444444,0,22,9,False,,49,Senior (45-54),2,Entertainment,1,0,0,0,0,Northeast,1,2
Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3,267.6666,8.655553333333334,0.4565644444444445,0,22,10,False,3.0,22,Young (<25),4,Entertainment,1,0,0,0,0,Southwest,1,5
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2,246.4999,7.966663333333334,0.2545436363636363,0,22,10,False,2.0,60,Veteran (55+),3,Entertainment,1,0,0,0,0,Midwest,1,0
Hines Ward,Kym Johnson,Athlete,Unknown,South Korea,35,12,1,267.6666,8.64722,0.2752513131313131,4,19,10,True,1.0,35,Mature (35-44),0,Sports,0,1,0,0,0,Non-US,0,1
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,9,75.0,2.5,0.4999999999999999,4,22,4,False,,54,Senior (45-54),2,Sports,0,1,0,0,0,Southeast,1,4
Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,7,134.0,4.466666666666667,0.2476190476190475,4,22,6,False,,40,Mature (35-44),0,Sports,0,1,0,0,0,Northeast,1,2
Petra Nemcova,Dmitry Chaplin,Model,Unknown,Czechoslovakia,31,12,8,106.0,3.5333333333333337,0.4333333333333333,3,7,5,False,,31,Prime (25-34),1,Reality/Model,0,0,1,0,0,Non-US,0,1
Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,11,30.0,1.0,1.333333333333334,2,22,2,False,,32,Prime (25-34),1,Other,0,0,0,0,1,West,1,6
Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,5,195.0,6.25,0.2916666666666666,0,22,8,False,,21,Young (<25),4,Entertainment,1,0,0,0,0,Southeast,1,4
Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,10,46.0,1.5333333333333334,0.1666666666666665,3,22,3,False,,46,Senior (45-54),2,Reality/Model,0,0,1,0,0,Northeast,1,2
Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,6,155.5,4.929166666666667,0.3050595238095238,3,22,7,False,,25,Prime (25-34),1,Reality/Model,0,0,1,0,0,West,1,6
Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,Unknown,Italy,33,13,11,36.0,1.2,2.0,0,12,2,False,,33,Prime (25-34),1,Entertainment,1,0,0,0,0,Non-US,0,1
David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,6,154.5,5.15,0.3273809523809524,0,22,7,False,,40,Mature (35-44),0,Entertainment,1,0,0,0,0,Southeast,1,4
Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3,265.9998,8.86666,0.2787846464646463,0,22,10,False,3.0,42,Mature (35-44),0,Entertainment,1,0,0,0,0,Northeast,1,2
J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1,263.1665,8.772216666666667,0.227269696969697,0,22,10,True,1.0,28,Prime (25-34),1,Entertainment,1,0,0,0,0,Southeast,1,4
Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,12,14.0,0.4666666666666667,0.0,4,22,1,False,,31,Prime (25-34),1,Sports,0,1,0,0,0,Northeast,1,2
Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,4,207.4998,6.91666,0.1833288888888889,4,22,9,False,,30,Prime (25-34),1,Sports,0,1,0,0,0,West,1,6
Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,9,90.0,3.0,0.0666666666666667,0,22,4,False,,43,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,10,65.0,2.1666666666666665,0.8333333333333334,3,22,3,False,,24,Young (<25),4,Reality/Model,0,0,1,0,0,West,1,6
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,8,97.0,3.2333333333333334,0.1999999999999999,3,22,5,False,,41,Mature (35-44),0,Reality/Model,0,0,1,0,0,Northeast,1,2
Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,7,113.0,3.766666666666667,0.2380952380952379,3,22,6,False,,42,Mature (35-44),0,Reality/Model,0,0,1,0,0,West,1,6
Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,5,169.0,5.633333333333333,0.2261904761904761,3,22,8,False,,51,Senior (45-54),2,Reality/Model,0,0,1,0,0,Southeast,1,4
Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2,243.833,8.127766666666668,0.4050452525252525,3,22,10,False,2.0,24,Young (<25),4,Reality/Model,0,0,1,0,0,West,1,6
William Levy,Cheryl Burke,Actor/Actress,Unknown,Cuba,31,14,3,277.6666,9.255553333333337,0.2060593939393939,0,6,10,False,3.0,31,Prime (25-34),1,Entertainment,1,0,0,0,0,Non-US,0,1
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,11,68.0,2.2666666666666666,0.1666666666666665,0,22,3,False,,52,Senior (45-54),2,Entertainment,1,0,0,0,0,Midwest,1,0
Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,10,91.0,3.0333333333333337,-0.1666666666666668,0,22,4,False,,44,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,14,7,181.4998,6.049993333333333,0.3273761904761905,0,22,7,False,,35,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,14,6,207.9998,6.933326666666666,0.1746007936507936,0,22,8,False,,20,Young (<25),4,Entertainment,1,0,0,0,0,West,1,6
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,5,186.0,6.199999999999999,0.2896825396825396,0,22,8,False,,47,Senior (45-54),2,Entertainment,1,0,0,0,0,West,1,6
Martina Navratilova,Tony Dovolani,Athlete,Unknown,Czechoslovakia,55,14,12,37.0,1.2333333333333334,-1.0,4,7,2,False,,55,Veteran (55+),3,Sports,0,1,0,0,0,Non-US,0,1
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1,271.1665,9.038883333333334,0.2474733333333333,4,22,10,True,1.0,37,Mature (35-44),0,Sports,0,1,0,0,0,Southwest,1,5
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,9,107.0,3.5666666666666678,-8.881784197001253e-17,0,22,5,False,,35,Mature (35-44),0,Entertainment,1,0,0,0,0,Northeast,1,2
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,8,132.0,4.4,0.0952380952380952,0,22,6,False,,67,Veteran (55+),3,Entertainment,1,0,0,0,0,Southeast,1,4
Katherine Jenkins,Mark Ballas,Singer/Rapper,Unknown,Wales,31,14,2,285.4999,9.516663333333332,0.1242422222222223,0,24,10,False,2.0,31,Prime (25-34),1,Entertainment,1,0,0,0,0,Non-US,0,1
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,4,240.4999,8.016663333333334,0.2527772222222222,3,22,9,False,,33,Prime (25-34),1,Reality/Model,0,0,1,0,0,Northeast,1,2
Gilles Marini,Peta Murgatroyd,Actor/Actress,Unknown,France,36,15,6,233.0275,7.438416666666666,0.3236821428571428,0,9,8,False,,36,Mature (35-44),0,Entertainment,1,0,0,0,0,Non-US,0,1
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,8,168.75,5.329166666666667,0.4607142857142857,0,22,6,False,,28,Prime (25-34),1,Entertainment,1,0,0,0,0,West,1,6
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,7,201.2499,6.458329999999999,0.3759900793650793,0,22,8,False,,61,Veteran (55+),3,Entertainment,1,0,0,0,0,Midwest,1,0
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3,281.3052,9.06434,0.2743769696969697,0,22,10,False,3.0,36,Mature (35-44),0,Entertainment,1,0,0,0,0,Northeast,1,2
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,5,255.6387,8.23379,0.3327894444444445,4,22,9,False,,30,Prime (25-34),1,Sports,0,1,0,0,0,West,1,6
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,4,253.0553,8.135176666666666,0.2675888888888888,4,22,9,False,,43,Mature (35-44),0,Sports,0,1,0,0,0,Southeast,1,4
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2,293.5274,9.45508,0.2536153535353537,4,22,10,False,2.0,20,Young (<25),4,Sports,0,1,0,0,0,Midwest,1,0
Pamela Anderson,Tristan MacManus,Model,Unknown,Canada,45,15,13,17.0,0.5666666666666667,0.0,3,3,1,False,,45,Senior (45-54),2,Reality/Model,0,0,1,0,0,Non-US,0,1
Helio Castroneves,Chelsie Hightower,Racing Driver,Unknown,Brazil,37,15,10,70.0,2.333333333333333,0.6666666666666665,2,2,3,False,,37,Mature (35-44),0,Other,0,0,0,0,1,Non-US,0,1
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,12,43.0,1.4333333333333331,0.666666666666667,0,22,2,False,,35,Mature (35-44),0,Entertainment,1,0,0,0,0,Northeast,1,2
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,11,68.0,2.2666666666666666,0.4166666666666665,0,22,3,False,,36,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,9,92.0,2.8,0.6,3,22,4,False,,21,Young (<25),4,Reality/Model,0,0,1,0,0,West,1,6
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1,293.3607,9.470356666666666,0.3271545454545455,3,22,10,True,1.0,29,Prime (25-34),1,Reality/Model,0,0,1,0,0,Southwest,1,5
Ingo Rademacher,Kym Johnson,Actor/Actress,Unknown,Germany,41,16,5,202.5,6.75,0.2333333333333333,0,10,9,False,,41,Mature (35-44),0,Entertainment,1,0,0,0,0,Non-US,0,1
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2,272.9998,9.099993333333334,0.1777797979797979,0,22,10,False,2.0,16,Young (<25),4,Entertainment,1,0,0,0,0,West,1,6
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,12,36.0,1.2,-2.0,4,22,2,False,,56,Veteran (55+),3,Sports,0,1,0,0,0,Midwest,1,0
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,8,118.0,3.9333333333333336,0.1333333333333333,4,22,6,False,,26,Prime (25-34),1,Sports,0,1,0,0,0,Midwest,1,0
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,4,264.5,8.816666666666666,0.3060606060606061,4,22,10,False,,18,Young (<25),4,Sports,0,1,0,0,0,Northeast,1,2
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3,251.9997,8.399989999999999,0.2484850505050504,4,22,10,False,3.0,28,Prime (25-34),1,Sports,0,1,0,0,0,Southeast,1,4
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,9,83.0,2.7666666666666666,0.5666666666666668,2,22,5,False,,50,Senior (45-54),2,Other,0,0,0,0,1,Southeast,1,4
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,7,132.5,4.416666666666667,0.0357142857142857,2,22,7,False,,47,Senior (45-54),2,Other,0,0,0,0,1,Southeast,1,4
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,11,51.0,1.7,-0.5,0,22,3,False,,48,Senior (45-54),2,Entertainment,1,0,0,0,0,Southeast,1,4
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1,267.5,8.916666666666668,0.2494949494949494,0,22,10,True,1.0,26,Prime (25-34),1,Entertainment,1,0,0,0,0,Southeast,1,4
Lisa Vanderpump,Gleb Savchenko,TV Personality,Unknown,England,52,16,10,75.0,2.5,0.1,3,8,4,False,,52,Senior (45-54),2,Reality/Model,0,0,1,0,0,Non-US,0,1
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,6,172.0,5.733333333333333,0.1746031746031746,3,22,8,False,,29,Prime (25-34),1,Reality/Model,0,0,1,0,0,Southwest,1,5
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,10,74.0,2.242424242424242,-0.4,0,22,4,False,,74,Veteran (55+),3,Entertainment,1,0,0,0,0,Northeast,1,2
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,7,206.5,6.257575757575759,0.3194444444444445,0,22,8,False,,28,Prime (25-34),1,Entertainment,1,0,0,0,0,Midwest,1,0
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,6,238.9998,7.242418181818182,0.1388877777777778,0,22,9,False,,39,Mature (35-44),0,Entertainment,1,0,0,0,0,Midwest,1,0
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,5,256.9999,7.541663636363637,0.1714644444444444,0,22,10,False,,43,Mature (35-44),0,Entertainment,1,0,0,0,0,Northeast,1,2
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2,313.66630000000004,9.220948484848485,0.1616121212121212,0,22,11,False,2.0,24,Young (<25),4,Entertainment,1,0,0,0,0,Northeast,1,2
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1,313.8331,9.210851515151516,0.1641393939393939,0,22,11,True,1.0,27,Prime (25-34),1,Entertainment,1,0,0,0,0,West,1,6
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,12,35.0,1.0606060606060608,0.333333333333333,4,22,2,False,,41,Mature (35-44),0,Sports,0,1,0,0,0,West,1,6
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,4,257.4998,7.575751515151516,0.1257560606060605,2,22,11,False,,56,Veteran (55+),3,Other,0,0,0,0,1,Southwest,1,5
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,9,125.0,3.787878787878788,0.3666666666666668,0,22,5,False,,31,Prime (25-34),1,Entertainment,1,0,0,0,0,Northeast,1,2
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,Unknown,Chile,25,17,8,176.0,5.333333333333334,0.4047619047619046,3,4,7,False,,25,Prime (25-34),1,Reality/Model,0,0,1,0,0,Non-US,0,1
Jack Osbourne,Cheryl Burke,TV Personality,Unknown,England,27,17,3,295.9997,8.700748484848484,0.1939378787878787,3,8,11,False,3.0,27,Prime (25-34),1,Reality/Model,0,0,1,0,0,Non-US,0,1
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,11,47.0,1.4242424242424243,0.333333333333333,3,22,3,False,,57,Veteran (55+),3,Reality/Model,0,0,1,0,0,Other-US,1,3
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,10,30.0,1.0,0.0,0,22,2,False,,76,Veteran (55+),3,Entertainment,1,0,0,0,0,Northeast,1,2
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,6,265.0,7.025,0.2053571428571428,0,22,8,False,,39,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,4,330.0,8.875000000000002,0.1873737373737373,0,22,10,False,,23,Young (<25),4,Entertainment,1,0,0,0,0,Northeast,1,2
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3,307.9998,8.299993333333335,0.1696933333333333,0,22,10,False,3.0,37,Mature (35-44),0,Entertainment,1,0,0,0,0,West,1,6
Sean Avery,Karina Smirnoff,Athlete,Unknown,Canada,33,18,11,41.0,1.3666666666666667,0.333333333333333,4,3,2,False,,33,Prime (25-34),1,Sports,0,1,0,0,0,Non-US,0,1
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,12,18.0,0.6,0.0,4,22,1,False,,64,Veteran (55+),3,Sports,0,1,0,0,0,Northeast,1,2
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,5,307.5,8.120833333333334,0.1249999999999999,4,22,9,False,,26,Prime (25-34),1,Sports,0,1,0,0,0,Midwest,1,0
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2,339.1666,9.126386666666669,0.2249987878787879,4,22,10,False,2.0,34,Prime (25-34),1,Sports,0,1,0,0,0,West,1,6
